2026-03-24 11:38:05.475 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=26 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2753.70 uplink_gap_ms=0.20
2026-03-24 11:38:05.475 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=27 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2673.70 uplink_gap_ms=0.18
2026-03-24 11:38:05.475 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=28 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2593.70 uplink_gap_ms=0.18
2026-03-24 11:38:05.477 | INFO | agent_voice_app.tts_pool | tts_pool_evict_stale idle_ms=18641
2026-03-24 11:38:05.477 | INFO | agent_voice_app.tts | tts_cancel elapsed_ms=29613.16
2026-03-24 11:38:05.477 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=29 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2515.70 uplink_gap_ms=2.08
2026-03-24 11:38:05.477 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=30 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2435.70 uplink_gap_ms=0.24
2026-03-24 11:38:05.478 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=31 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2356.70 uplink_gap_ms=0.19
2026-03-24 11:38:05.478 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=32 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2276.70 uplink_gap_ms=0.18
2026-03-24 11:38:05.478 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=33 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2196.70 uplink_gap_ms=0.19
2026-03-24 11:38:05.478 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=34 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2116.70 uplink_gap_ms=0.17
2026-03-24 11:38:05.478 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=35 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=2036.70 uplink_gap_ms=0.17
2026-03-24 11:38:05.478 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=36 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1956.70 uplink_gap_ms=0.17
2026-03-24 11:38:05.479 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=37 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1877.70 uplink_gap_ms=0.16
2026-03-24 11:38:05.479 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=38 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1797.70 uplink_gap_ms=0.17
2026-03-24 11:38:05.479 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=39 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1717.70 uplink_gap_ms=0.17
2026-03-24 11:38:05.479 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=40 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1637.70 uplink_gap_ms=0.17
2026-03-24 11:38:05.479 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=41 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1557.70 uplink_gap_ms=0.19
2026-03-24 11:38:05.479 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=42 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1477.70 uplink_gap_ms=0.17
2026-03-24 11:38:05.481 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=43 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1399.70 uplink_gap_ms=1.14
2026-03-24 11:38:05.481 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=44 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1319.70 uplink_gap_ms=0.29
2026-03-24 11:38:05.481 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=45 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1239.70 uplink_gap_ms=0.22
2026-03-24 11:38:05.481 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=46 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1159.70 uplink_gap_ms=0.22
2026-03-24 11:38:05.481 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=47 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1079.70 uplink_gap_ms=0.19
2026-03-24 11:38:05.482 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=48 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=1000.70 uplink_gap_ms=0.18
2026-03-24 11:38:05.482 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=49 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=920.70 uplink_gap_ms=0.18
2026-03-24 11:38:05.482 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=50 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=840.70 uplink_gap_ms=0.17
2026-03-24 11:38:05.482 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=51 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=760.70 uplink_gap_ms=0.17
2026-03-24 11:38:05.482 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=52 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=680.70 uplink_gap_ms=0.18
2026-03-24 11:38:05.483 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=53 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=601.70 uplink_gap_ms=0.17
2026-03-24 11:38:05.485 | INFO | agent_voice_app.duplug | duplug_session_started session_id=agent-84bbe08fbb8a4fd1b8ec815c7ac1005e url=ws://192.168.129.25:8000/turn timeout=10.0
2026-03-24 11:38:05.486 | INFO | agent_voice_app.session | session transport_started stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 phase=LISTENING
2026-03-24 11:38:05.486 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=phase queue_depth=1
2026-03-24 11:38:05.487 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=phase queue_wait_ms=0.26
2026-03-24 11:38:05.487 | INFO | agent_voice_app.server | browser control started stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 sample_rate=48000
2026-03-24 11:38:05.546 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=54 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=584.95 uplink_gap_ms=63.43
2026-03-24 11:38:05.546 | INFO | agent_voice_app.duplug | duplug_first_send session_id=agent-84bbe08fbb8a4fd1b8ec815c7ac1005e chunk_idx=1 seq=54 capture_to_server_ms=584.95 server_queue_wait_ms=0.74
2026-03-24 11:38:05.568 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:05.569 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.54
2026-03-24 11:38:05.625 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=55 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=584.58 uplink_gap_ms=80.30
2026-03-24 11:38:05.706 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=56 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=584.85 uplink_gap_ms=79.77
2026-03-24 11:38:05.764 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:05.764 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.64
2026-03-24 11:38:05.766 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_event queue_depth=1
2026-03-24 11:38:05.768 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_event queue_wait_ms=1.49
2026-03-24 11:38:05.768 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:05.769 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.29
2026-03-24 11:38:05.786 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=57 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=584.96 uplink_gap_ms=79.98
2026-03-24 11:38:05.866 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=58 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=584.77 uplink_gap_ms=79.75
2026-03-24 11:38:05.946 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=59 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=585.14 uplink_gap_ms=80.39
2026-03-24 11:38:05.949 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:05.951 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.74
2026-03-24 11:38:05.951 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_event queue_depth=1
2026-03-24 11:38:05.952 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_event queue_wait_ms=0.64
2026-03-24 11:38:05.953 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:05.955 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.79
2026-03-24 11:38:06.027 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=60 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=586.53 uplink_gap_ms=81.26
2026-03-24 11:38:06.101 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:06.102 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.54
2026-03-24 11:38:06.102 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_event queue_depth=1
2026-03-24 11:38:06.102 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_event queue_wait_ms=0.35
2026-03-24 11:38:06.102 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:06.103 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.25
2026-03-24 11:38:06.105 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=61 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=584.55 uplink_gap_ms=78.60
2026-03-24 11:38:06.186 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=62 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=584.96 uplink_gap_ms=80.46
2026-03-24 11:38:06.266 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=63 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=584.97 uplink_gap_ms=79.93
2026-03-24 11:38:06.274 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:06.274 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.72
2026-03-24 11:38:06.276 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_event queue_depth=1
2026-03-24 11:38:06.276 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_event queue_wait_ms=0.30
2026-03-24 11:38:06.277 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:06.277 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.23
2026-03-24 11:38:06.346 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=64 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=585.00 uplink_gap_ms=79.87
2026-03-24 11:38:06.426 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=65 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=584.51 uplink_gap_ms=80.04
2026-03-24 11:38:06.427 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:06.429 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.46
2026-03-24 11:38:06.429 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_event queue_depth=1
2026-03-24 11:38:06.430 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_event queue_wait_ms=0.61
2026-03-24 11:38:06.431 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:06.431 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.22
2026-03-24 11:38:06.506 | INFO | agent_voice_app.session | audio_ingress stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 seq=66 bytes=7680 sample_rate=48000 phase=LISTENING capture_to_server_ms=584.91 uplink_gap_ms=80.03
2026-03-24 11:38:06.579 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:06.580 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.51
2026-03-24 11:38:06.580 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_event queue_depth=1
2026-03-24 11:38:06.580 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_event queue_wait_ms=0.21
2026-03-24 11:38:06.583 | INFO | agent_voice_app.transport | control_enqueue stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_depth=1
2026-03-24 11:38:06.583 | INFO | agent_voice_app.transport | control_send stream_id=browser-5355a6bbe78f session_id=session-77a48ca4f231 priority=0 message_type=turn_debug queue_wait_ms=0.40
